,carat,cut,color,clarity,depth,table,price,x,y,z,log_price,volume
0,0.23,2,1,3,61.5,55.0,326,3.95,3.98,2.43,5.786897381366708,38.20203
1,0.21,3,1,2,59.8,61.0,326,3.89,3.84,2.31,5.786897381366708,34.505856
2,0.23,1,1,4,56.9,65.0,327,4.05,4.07,2.31,5.7899601708972535,38.076885
3,0.29,3,5,5,62.4,58.0,334,4.2,4.23,2.63,5.811140992976701,46.72458
4,0.31,1,6,3,63.3,58.0,335,4.34,4.35,2.75,5.814130531825066,51.91725
5,0.24,4,6,7,62.8,57.0,336,3.94,3.96,2.48,5.817111159963204,38.693952
6,0.24,4,5,6,62.3,57.0,336,3.95,3.98,2.47,5.817111159963204,38.83087
7,0.26,4,4,2,61.9,55.0,337,4.07,4.11,2.53,5.820082930352362,42.321081
8,0.22,0,1,5,65.1,61.0,337,3.87,3.78,2.49,5.820082930352362,36.425214
9,0.23,4,4,4,59.4,61.0,338,4.0,4.05,2.39,5.823045895483019,38.718
10,0.3,1,6,2,64.0,55.0,339,4.25,4.28,2.73,5.82600010738045,49.6587
11,0.23,2,6,4,62.8,56.0,340,3.93,3.9,2.46,5.828945617610208,37.70442
12,0.22,3,2,2,60.4,61.0,342,3.88,3.84,2.33,5.834810737062605,34.715136
13,0.31,2,6,3,62.2,54.0,344,4.35,4.37,2.71,5.840641657373398,51.515745
14,0.2,3,1,3,60.2,62.0,345,3.79,3.75,2.27,5.84354441703136,32.262375
15,0.32,3,1,0,60.9,58.0,345,4.38,4.42,2.68,5.84354441703136,51.883728000000005
16,0.3,2,5,3,62.0,54.0,348,4.31,4.34,2.68,5.8522024797744745,50.130472
17,0.3,1,6,2,63.4,54.0,351,4.23,4.29,2.7,5.860786223465865,48.99609000000001
18,0.3,1,6,2,63.8,56.0,351,4.23,4.26,2.71,5.860786223465865,48.833658
19,0.3,4,6,2,62.7,59.0,351,4.21,4.27,2.66,5.860786223465865,47.818022
20,0.3,1,5,3,63.3,56.0,351,4.26,4.3,2.71,5.860786223465865,49.64177999999999
21,0.23,4,1,5,63.8,55.0,352,3.85,3.92,2.48,5.863631175598097,37.42816
22,0.23,4,4,4,61.0,57.0,353,3.94,3.96,2.41,5.8664680569332965,37.601784
23,0.31,4,6,2,59.4,62.0,353,4.39,4.43,2.62,5.8664680569332965,50.952974
24,0.31,4,6,2,58.1,62.0,353,4.44,4.47,2.59,5.8664680569332965,51.403212
25,0.23,4,3,7,60.4,58.0,354,3.97,4.01,2.41,5.869296913133774,38.366477
26,0.24,3,5,4,62.5,57.0,355,3.97,3.94,2.47,5.872117789475416,38.635246
27,0.3,4,6,5,62.2,57.0,357,4.28,4.3,2.67,5.877735781779639,49.13868
28,0.23,4,0,5,60.5,61.0,357,3.96,3.97,2.4,5.877735781779639,37.73088
29,0.23,4,2,4,60.9,57.0,357,3.96,3.99,2.42,5.877735781779639,38.236968000000005
30,0.23,4,2,4,60.0,57.0,402,4.0,4.03,2.41,5.996452088619021,38.8492
31,0.23,4,2,4,59.8,57.0,402,4.04,4.06,2.42,5.996452088619021,39.693808
32,0.23,4,1,4,60.7,59.0,402,3.97,4.01,2.42,5.996452088619021,38.525674
33,0.23,4,1,4,59.5,58.0,402,4.01,4.06,2.4,5.996452088619021,39.07343999999999
34,0.23,4,0,4,61.9,58.0,402,3.92,3.96,2.44,5.996452088619021,37.876608
35,0.23,1,2,4,58.2,59.0,402,4.06,4.08,2.37,5.996452088619021,39.258576
36,0.23,1,1,4,64.1,59.0,402,3.83,3.85,2.46,5.996452088619021,36.27393
37,0.31,1,4,2,64.0,54.0,402,4.29,4.31,2.75,5.996452088619021,50.847225
38,0.26,4,0,5,60.8,59.0,403,4.13,4.16,2.52,5.998936561946683,43.295616
39,0.33,2,5,3,61.8,55.0,403,4.49,4.51,2.78,5.998936561946683,56.294722
40,0.33,2,5,3,61.2,56.0,403,4.49,4.5,2.75,5.998936561946683,55.563750000000006
41,0.33,2,6,2,61.1,56.0,403,4.49,4.55,2.76,5.998936561946683,56.38542
42,0.26,1,0,5,65.2,56.0,403,3.99,4.02,2.61,5.998936561946683,41.863878
43,0.26,1,0,4,58.4,63.0,403,4.19,4.24,2.46,5.998936561946683,43.703376000000006
44,0.32,1,4,3,63.1,56.0,403,4.34,4.37,2.75,5.998936561946683,52.15595
45,0.29,3,2,2,62.4,58.0,403,4.24,4.26,2.65,5.998936561946683,47.86536
46,0.32,4,4,3,61.8,55.0,403,4.35,4.42,2.71,5.998936561946683,52.10517
47,0.32,1,4,3,63.8,56.0,403,4.36,4.38,2.79,5.998936561946683,53.280072
48,0.25,4,1,5,63.3,60.0,404,4.0,4.03,2.54,6.001414877961151,40.9448
49,0.29,4,4,3,60.7,60.0,404,4.33,4.37,2.64,6.001414877961151,49.954344000000006
50,0.24,4,2,2,60.9,61.0,404,4.02,4.03,2.45,6.001414877961151,39.69147
51,0.23,2,3,4,61.9,54.0,404,3.93,3.95,2.44,6.001414877961151,37.87734
52,0.32,2,5,2,60.9,55.0,404,4.45,4.48,2.72,6.001414877961151,54.225920000000016
53,0.22,3,1,5,61.6,58.0,404,3.93,3.89,2.41,6.001414877961151,36.843357000000005
54,0.22,3,0,5,59.3,62.0,404,3.91,3.88,2.31,6.001414877961151,35.044548
55,0.3,2,5,3,61.0,59.0,405,4.3,4.33,2.63,6.003887067106539,48.96797
56,0.3,3,6,3,59.3,61.0,405,4.43,4.38,2.61,6.003887067106539,50.64287399999999
57,0.3,4,5,2,62.6,57.0,405,4.25,4.28,2.67,6.003887067106539,48.5673
58,0.3,4,5,2,63.0,57.0,405,4.28,4.32,2.71,6.003887067106539,50.10681600000001
59,0.3,1,5,2,63.2,55.0,405,4.25,4.29,2.7,6.003887067106539,49.22775000000001
60,0.35,2,5,4,60.9,57.0,552,4.54,4.59,2.78,6.313548046277095,57.931308
61,0.3,3,0,2,62.6,59.0,552,4.23,4.27,2.66,6.313548046277095,48.04518600000001
62,0.3,2,0,2,62.5,57.0,552,4.29,4.32,2.69,6.313548046277095,49.853232000000006
63,0.3,2,0,2,62.1,56.0,552,4.3,4.33,2.68,6.313548046277095,49.89892
64,0.42,3,5,3,61.5,59.0,552,4.78,4.84,2.96,6.313548046277095,68.480192
65,0.28,2,3,7,61.4,56.0,553,4.19,4.22,2.58,6.315358001522335,45.619044
66,0.32,2,5,6,62.0,55.3,553,4.39,4.42,2.73,6.315358001522335,52.97237399999999
67,0.31,4,3,2,63.3,57.0,553,4.33,4.3,2.73,6.315358001522335,50.82987
68,0.31,3,3,2,61.8,58.0,553,4.35,4.32,2.68,6.315358001522335,50.36256
69,0.24,3,1,6,60.7,58.0,553,4.01,4.03,2.44,6.315358001522335,39.431132
70,0.24,4,0,6,61.5,60.0,553,3.97,4.0,2.45,6.315358001522335,38.906000000000006
71,0.3,4,4,2,63.1,56.0,554,4.29,4.27,2.7,6.317164686747284,49.45941
72,0.3,3,4,2,62.9,59.0,554,4.28,4.24,2.68,6.317164686747284,48.634496000000006
73,0.3,3,4,2,62.5,57.0,554,4.29,4.25,2.67,6.317164686747284,48.680775
74,0.3,1,4,2,63.7,57.0,554,4.28,4.26,2.72,6.317164686747284,49.593216000000005
75,0.26,4,2,7,59.2,60.0,554,4.19,4.22,2.49,6.317164686747284,44.027682
76,0.26,4,1,7,59.9,58.0,554,4.15,4.23,2.51,6.317164686747284,44.06179500000001
77,0.26,4,0,7,62.4,54.0,554,4.08,4.13,2.56,6.317164686747284,43.137024
